Temps,X,Y
0,0,2.256
0.03337,0.1517,2.436
0.06673,0.3033,2.569
0.1001,0.4455,2.711
0.1335,0.5782,2.844
0.1668,0.7299,2.957
0.2002,0.8626,3.071
0.2336,1.014,3.166
0.2669,1.147,3.242
0.3003,1.289,3.299
0.3337,1.431,3.365
0.3670,1.564,3.412
0.4004,1.687,3.450
0.4338,1.829,3.488
0.4671,1.962,3.507
0.5005,2.095,3.517
0.5339,2.256,3.498
0.5672,2.370,3.488
0.6006,2.502,3.450
0.6340,2.635,3.412
0.6673,2.749,3.374
0.7007,2.900,3.289
0.7341,3.024,3.242
0.7674,3.166,3.156
0.8008,3.289,3.062
0.8342,3.422,2.967
0.8675,3.555,2.863
0.9009,3.687,2.739
0.9343,3.820,2.607
0.9676,3.943,2.464
1.001,4.076,2.294
1.034,4.209,2.133
1.068,4.341,1.962
1.101,4.474,1.782
1.134,4.597,1.564
1.168,4.730,1.346
1.201,4.882,1.128
1.235,4.995,0.8815
1.268,5.118,0.6540
1.301,5.251,0.3981
1.335,5.393,0.1327
